year,month,product_category,base_price,discount_percent,discount_expense,final_price,marketing_spend,website_traffic,conversion_rate,customer_rating,competitor_price_index,logistics_cost,return_rate,festival_season,inventory_level,units_sold,revenue,revenue_growth_percent
2020,1,Home,11125.59,7.85,873.36,10252.23,349650.42,79727,2.32,3.05,0.86,95.56,18.53,0,168,1128,11564516.78,8.48
2020,1,Home,38408.22,25.37,9744.17,28664.05,378795.81,191541,1.11,4.7,0.85,354.85,1.37,0,2547,1998,57270781.06,10.34
2020,1,Home,37685.81,30.75,11588.39,26097.42,224969.27,66121,5.42,3.4,1.03,373.09,22.87,0,4244,2436,63573323.46,8
2020,1,Home,40876.31,1.71,698.98,40177.33,434102.42,148483,7.48,2.69,0.98,379.92,10.77,0,4507,5975,240059517.5,10.98
2020,1,Fashion,27924.12,3.41,952.21,26971.91,420488.58,33261,4.89,4,0.84,165.62,20.62,1,3311,1626,43856321.61,18.61
2020,1,Home,28680.5,45.26,12980.79,15699.71,106978.62,128390,5.17,2.84,1.1,288.98,6.66,0,4469,3770,59187890.49,8.04
2020,1,Electronics,4908.91,49.81,2445.13,2463.78,347005.68,28785,7.55,4.69,1.04,308.75,11.39,1,1521,2548,6277716.36,21.13
2020,1,Electronics,22801.56,53.27,12146.39,10655.17,193813.34,53204,6.34,5,0.87,110.47,13.53,0,2529,3373,35939885,14.93
2020,1,Electronics,27122.43,57.46,15584.55,11537.88,181302.65,178818,7.67,4.6,1.07,142.71,13.72,0,3911,12618,145584991.6,15.42
2020,1,Home,1347.75,54.47,734.12,613.63,198709.75,167857,4.78,4.48,1.17,96.86,22.3,0,1725,7189,4411390.2,12.13
2020,1,Fashion,32611.23,28.56,9313.77,23297.46,416560.63,49469,6.05,3.31,0.91,48.33,22.86,0,4704,1981,46152273.63,10.14
2020,1,Fashion,6663.19,19.08,1271.34,5391.85,32710.24,61659,3.9,2.78,1.19,313.35,3.94,0,3129,1337,7208907.93,3.33
2020,1,Beauty,5820.34,26.55,1545.3,4275.04,366618.6,187546,1.48,4.76,1.08,464.87,8.99,0,354,2642,11294654.97,8.2
2020,1,Home,27471.28,4.26,1170.28,26301,144610.97,54709,7.3,3.43,0.9,463.09,2.21,0,3456,2739,72038448.51,4.14
2020,1,Fashion,41067.95,55.71,22878.95,18189,476861.15,157772,3.21,3.6,1,363.76,1.17,0,1299,3646,66317075.97,15.97
2020,1,Home,37714.98,56.07,21146.79,16568.19,486164.24,13976,6.53,3.99,0.86,199.93,1.52,0,2284,728,12061642.84,16.5
2020,1,Beauty,26485.04,10.89,2884.22,23600.82,146840.96,111233,7.71,4.38,0.85,299.04,3.97,1,1797,9390,221611691.8,14.22
2020,1,Grocery,11318.12,17.11,1936.53,9381.59,280660.87,6293,2.96,4.78,1.14,413.15,19.41,0,3728,178,1669922.96,10.16
2020,1,Beauty,3014.48,45.45,1370.08,1644.4,9574.95,29615,7.18,4.82,1.19,327.99,18.41,0,4980,2049,3369373.22,5.29
2020,1,Grocery,9995.09,36.37,3635.21,6359.88,207092.05,42182,7.02,4.64,0.94,351.59,7.63,0,3487,2747,17470578.73,6.59
2020,1,Grocery,32758.14,26.98,8838.15,23919.99,260445.16,90262,0.94,3.79,1.03,405.59,2.61,0,1565,643,15380556.03,10.17
2020,1,Fashion,2891.57,22.47,649.74,2241.83,245376.12,136630,2.27,3.77,1.03,177.04,17.31,0,445,2338,5241408.41,14.05
2020,1,Beauty,37875.62,38.49,14578.33,23297.29,197241.6,69776,7.24,3.54,1.17,120.07,20.44,1,1609,4470,104138903.6,20.93
2020,1,Home,22518.91,40.54,9129.17,13389.74,456310.17,129236,2.45,4.35,1.17,155.78,11.51,0,2915,2754,36875354.66,10.98
